,filename,id,sex,weight,height,complete,area,area_weighted,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance
217,bdd6c32e68cc4556a00ed5c3bd79efbe,0236,0,25.5,1.2509779052734376,True,72997.5,324571.86458081455,674.5958862304688,164.88783264160156,39.11306742680784,0.9696683003736472,1877.055032491684,569,328,NEW,0.9359148059830913,0.8237589421200954,111.49981689453125,282.17902119044925
218,41c0a76f7f1842219deda50c87f551da,0268,1,24.5,1.429607421875,True,74840.5,311997.0231453553,559.4221801757812,201.75685119628906,44.639054736754204,0.9327003678624812,2748.4662821292877,557,301,NEW,0.7808829911753489,0.7725449452240357,70.24430847167969,246.22347572885897
219,8f01f17d372143c0ae45da8294fc1c03,0253,1,21.8,1.3198846435546876,True,86810.5,292443.06658250815,675.3021240234375,196.47706604003906,37.2181111949513,0.9567391994615694,1896.2509900331497,592,394,NEW,0.809276526780721,0.7911069516885607,60.286033630371094,304.20059171540083
220,7e41323413fe47e8a6b8cde7f535a18f,0253,1,21.8,1.2551561279296874,True,96878.0,287349.4123156987,632.2290649414062,238.49256896972656,39.27847423817324,0.9261216697446925,2927.728252887726,626,394,NEW,0.8364225521464891,0.7676819140589176,65.40573120117188,283.59301824974466
221,fc9a230647784f708d439ab2ca2ae6b1,0268,1,24.5,1.4142723388671874,True,82438.0,301143.1676197055,595.2984008789062,217.56263732910156,45.12205801860974,0.930823824345069,2354.459141254425,580,315,NEW,0.7108485705384744,0.7992523185314769,70.86308288574219,257.7382393049196
222,e379f61ac1b9491e862713f113b95209,0238,1,25.8,1.551815673828125,True,51754.0,447217.3291905297,406.1275634765625,206.4303741455078,51.00926473487088,0.861186268626933,1582.0773289203644,445,228,NEW,0.5637299771167048,0.7548436308161709,95.52091979980469,191.3765920900464
223,87c60ee542114b83be8549da2fdb23dd,0268,1,24.5,1.41634912109375,True,79355.0,336039.84305177943,586.95751953125,196.15077209472656,56.13681380871534,0.942508481631046,2275.2631843090057,589,240,NEW,0.8430930837492376,0.7755361121137068,82.89192199707031,238.8242031285774
224,5a46bbd47147480997648e4d44785521,0268,1,24.5,1.426226318359375,True,84108.0,333456.9186325615,688.9281616210938,188.5475311279297,65.14545961520588,0.9618201127492519,1813.9595810174942,636,203,NEW,0.9374558303886926,0.8355241460541813,90.7639389038086,322.6701101744629
225,f772f03b1b9247379b626f6a5c81501f,0232,1,23.6,1.3783201904296876,True,88033.0,333630.0130092013,577.3552856445312,240.0353240966797,49.611149307394925,0.9094790449680017,1778.0428400039673,578,307,NEW,0.6646621621621621,0.8323873873873874,106.89999389648438,315.49326458737596
226,83a6acfa4b4c4bf188a8f808a8e0bbb3,0272,1,22.3,1.2985740966796875,True,70867.5,218672.05291002893,559.5576782226562,282.3775634765625,32.03050847457627,0.8633273906429807,3474.50494492054,625,354,NEW,0.47594439992262416,0.5923397905325116,70.60963439941406,210.52315787105226
227,2d18388dd7e343b78680798787abaeda,0236,0,25.5,1.24830615234375,True,71005.0,321467.5420843279,691.868896484375,159.82891845703125,40.924600292792014,0.9729512782223704,2057.5230691432953,567,306,NEW,0.8634694558807166,0.8122287748970736,108.33019256591797,272.0183817318234
228,02c779b60476403cb7be6ab4f7de877c,0238,1,25.8,1.38134814453125,False,,,,,,,,,,NEW,,,,
229,62f0a4da83774ae78649692ee42c5472,0253,1,21.8,1.2143094482421875,True,103689.0,333654.6326902087,681.761962890625,212.12588500976562,46.6219132749411,0.9503629032252353,1912.8123899698257,611,364,NEW,0.9311123442851948,0.8267666813371859,112.11995697021484,262.5280937347468
230,1c2dd0f191f44757b2465e59e2a60207,0253,1,21.8,1.3260533447265626,True,87127.0,297178.16201080923,665.1537475585938,200.51365661621094,36.24311552604868,0.9534805317383401,1862.9789109230042,598,402,NEW,0.8292139176723501,0.7963192556615899,60.03483581542969,309.40103425812913
231,59678aa965cf4be8ac2f771743c694d5,0236,0,25.5,1.2260394287109375,False,,,,,,,,,,NEW,,,,
232,285bc82afe3241b795c043ae15f82c9f,0236,0,25.5,1.3147200927734375,True,89675.5,313327.26905446843,499.2508544921875,290.625732421875,60.83489362856833,0.8131002703988883,2065.339301943779,498,296,NEW,0.6789436495318848,0.8228669846316905,90.06329345703125,283.59301824974466
233,2786df3e56d84e36a5fd0f33fdb3cb62,0236,0,25.5,1.237767822265625,True,66730.5,345480.9295792777,602.06396484375,164.74557495117188,43.96643738140418,0.961833700188059,1663.5748032331467,544,279,NEW,0.8200148257968866,0.7970941438102298,108.434326171875,262.1907702418222
234,8ef2f702d7db48a88821072297eec20d,0238,1,25.8,1.547719970703125,False,,,,,,,,,,NEW,,,,
235,6db3eebe4bae4c0eaed278703f2c7f32,0238,1,25.8,1.474826904296875,True,57772.0,326340.1595535473,547.51904296875,158.61068725585938,58.044810609866374,0.957120585021134,1885.1311522722244,538,185,NEW,0.8395221843003413,0.7390784982935154,90.03865814208984,197.2004056790959
236,b629a49b509243c6abfdc443a84f1451,0236,0,25.5,1.315625244140625,False,,,,,,,,,,NEW,,,,
237,3894eee4dfe5436c8e7d522112baaa7b,0230,0,25.5,1.33379736328125,True,75603.5,335070.5630737729,554.9230346679688,193.91751098632812,43.745190276982186,0.9369552444459828,1785.7169371843338,519,333,NEW,0.7497839805189704,0.8383650598308502,63.1006965637207,232.17450333746814
238,92fd1c7a9e2741b3bbaaccd6a2bed0dc,0236,0,25.5,1.3158463134765626,True,90690.5,319221.51558028365,487.73565673828125,295.75494384765625,60.68283706925393,0.79517220086624,2085.6824502944946,490,305,NEW,0.686142223968909,0.8116635007969258,88.98782348632812,285.7726368986366
239,b0f7ef5d04eb49bea574ea3d4f3ce25a,0236,0,25.5,1.25099658203125,True,72551.5,320280.0558501951,685.4930419921875,160.97308349609375,38.175757448196755,0.9720368953125362,1932.8540219068527,569,334,NEW,0.9526755419897257,0.8265224086009784,112.09910583496094,286.1503101518501
240,0b97d0a6219e47dca619ea027b9b761c,0236,0,25.5,1.3688524169921874,True,75371.5,323237.16856464086,675.2737426757812,168.58175659179688,40.19170266090759,0.9683362659318371,1801.197169661522,570,329,NEW,0.9049933019883901,0.8130072758792782,111.65556335449219,295.0830391601659
241,52bf8de0e4634e5dac929ac9b43abb30,0236,0,25.5,1.229149658203125,False,,,,,,,,,,NEW,,,,
242,2253aad7f6314f6787e79ea1b3ba3d3a,0274,0,25.4,1.359603759765625,True,78856.5,245046.89319285608,676.193115234375,198.501220703125,45.88308197179165,0.9559415720443194,2972.2063937187195,693,248,NEW,0.6613021944434048,0.6812630213206582,99.99609375,278.6000717874997
243,26d6586f2fe3425194e6d442a35ad230,0238,1,25.8,1.47198828125,True,57387.0,310902.9803172026,537.6535034179688,165.798095703125,54.881127708815484,0.9512653578154329,1808.5037347078323,539,194,NEW,0.8416981780680646,0.7427638363698865,91.21009826660156,205.32169880458324
244,abaa4092eeba433fae5e1f1cd849701e,0277,0,26.0,1.3339305419921874,True,104188.5,321333.9716351542,684.7864379882812,244.79852294921875,53.29062452048488,0.9339201975978387,2312.476387143135,665,294,NEW,0.932145708962318,0.8371040723981901,83.2327651977539,324.05246488801777
245,b8af66d3bcb245199f0cf10b542aab6c,0274,0,25.4,1.3567261962890624,True,80820.0,256995.24533411657,701.7583618164062,197.7494354248047,45.86781080804985,0.9594757087324355,3219.443983435631,702,251,NEW,0.6727310316311763,0.6778630410195916,99.52413940429688,282.8462479864281
