Unnamed: 0,filename,id,sex,weight,height,complete,area,area_cc,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance,area_bb,good,augmented,train_set,train
39,f2f848e2b7e7476aa83e3b6625f671e4,0238,1,25.8,1.4814638671875,True,62735.5,342713.9399075929,494.5939331054688,183.47007751464844,0.6114571150097465,0.9286524702206702,1981.2560422420504,513.0,200.0,NEW,0.7187937296583387,0.8049244508734139,86.08547973632812,234.138847695123,102600.0,Selected,False,True,True
40,40726b524ec844418b7390d31017461b,0238,1,25.8,1.389821044921875,True,69475.5,336031.37202581245,560.0133666992188,182.19590759277344,0.5877941064494023,0.9455963927081714,1814.746376276016,571.0,207.0,NEW,0.8378136073202317,0.7394515518492693,85.48991394042969,285.77613616255644,118197.0,Selected,False,True,True
42,94e45689a8fd43d9a70e7109c84c8376,0230,0,25.5,1.343003173828125,True,77645.0,329530.3848525308,563.3072509765625,196.8149871826172,0.4245773092149872,0.9369766830507492,1715.6753087043762,524.0,349.0,NEW,0.7634452495152566,0.8452137973262578,61.1783561706543,213.40337391897063,182876.0,Selected,False,True,False
43,5e91204b35824294824c042577bde77c,0261,1,27.1,1.3162535400390625,True,117559.5,333452.3624292431,712.3431396484375,230.05682373046875,0.5796047863450132,0.9464133418460952,2297.3291968107224,697.0,291.0,NEW,0.8309953014416223,0.7808885927100644,99.01499938964844,246.3331078032346,202827.0,Selected,False,True,True
44,4b89b41207b24216a38cdd19408022b4,0268,1,24.5,1.409677978515625,True,84017.5,294418.758133821,581.0267944335938,225.8380126953125,0.4680901442977325,0.9213695309483828,2404.843917131424,579.0,310.0,NEW,0.7169057136139196,0.8208793792616976,75.80406188964844,217.2763217656264,179490.0,Selected,False,True,True
45,1dbd11cc971a436685a36c2ef13232f0,0238,1,25.8,1.4622293701171876,True,62341.0,338188.2417315917,576.2290649414062,157.41563415527344,0.5085325067297496,0.9619622554128456,1851.7585691213608,533.0,230.0,NEW,0.9007268523650416,0.7814850591458297,78.6782455444336,210.8743701828176,122590.0,Selected,False,True,True
47,dad688c78eee4a17868a469ebca2db64,0238,1,25.8,1.300063720703125,True,121592.5,374339.0208046484,802.4730834960938,235.5552215576172,0.5816041977576245,0.955947835241046,2177.25604224205,744.0,281.0,NEW,0.912790887431052,0.7967296582786645,95.01821899414062,236.96624232155935,209064.0,Selected,False,True,True
50,18f66da079d4471db871624cb6ab8fc2,0268,1,24.5,1.4359241943359375,True,79429.5,314202.8903938142,558.8350219726562,222.97982788085935,0.4580603676962469,0.9169473016443505,2370.015489935875,563.0,308.0,NEW,0.7166241998632776,0.8035796407929898,72.97014617919922,193.1035991378721,173404.0,Selected,False,True,True
51,86dd02bdcab5488297a1b416fdb40006,0268,1,24.5,1.428534423828125,True,82178.0,320612.890865783,598.8021240234375,209.97450256347656,0.441553696449968,0.93650374421573,1902.954527139664,549.0,339.0,NEW,0.7492530120481927,0.8159518072289157,66.38005065917969,246.75696545386515,186111.0,Selected,False,True,True
54,85226bb9c3bf4c6dbb01dfa4598ebb41,0239,1,22.8,1.3617125244140624,True,79363.5,356424.9933369111,644.653564453125,205.50267028808597,0.3859716953603735,0.947828731715512,1830.060083270073,596.0,345.0,NEW,0.7296950040541383,0.7610802719391255,71.0914306640625,295.51311307622206,205620.0,Selected,False,True,False
56,1bf8296ae2344718b8c4e943e1564603,0268,1,24.5,1.4187606201171874,True,82172.0,304281.62261615373,573.3675537109375,225.38153076171875,0.4600767055793511,0.919502626219278,2532.684536576271,567.0,315.0,NEW,0.7091459314055144,0.8256316649053703,72.87139892578125,201.5365971728212,178605.0,Selected,False,True,True
57,e25d4e58a95d4a9a84a0bf862cd63fb4,0236,0,25.5,1.254822509765625,True,74598.0,358135.6114819836,681.75146484375,164.73373413085938,0.39919303052356697,0.9703676802544186,1923.8662167787552,568.0,329.0,NEW,0.8920886201821725,0.8134653885419567,111.3700942993164,293.7209560109731,186872.0,Selected,False,True,True
58,31a1b67345254c29aca46ef3852fe55d,0236,0,25.5,1.2519688720703126,True,73255.0,326199.46033458324,679.0296630859375,166.3016815185547,0.3898367320873601,0.9695456213812876,1948.2093588113785,566.0,332.0,NEW,0.9225162970860944,0.817702077119296,110.7044448852539,280.4442903679802,187912.0,Selected,False,True,True
60,fcca3281068d45a6a8d755b535a9d909,0238,1,25.8,1.4457410888671876,True,64652.5,333409.98472070746,508.6481323242188,200.17713928222656,0.5914763006943745,0.9193043350949364,2272.6185216903687,523.0,209.0,NEW,0.695176574545233,0.7210152655473964,88.69158935546875,234.71898091121648,109307.0,Selected,False,True,True
61,93bd14238e84418e819115149855375e,0261,1,27.1,1.370265625,True,105970.5,341712.22521020594,670.0776977539062,228.22979736328125,0.6161111401810476,0.9402075751415038,2227.991103887558,659.0,261.0,NEW,0.8343791204166939,0.7952719825691762,94.74076080322266,219.23731434224425,171999.0,Selected,False,True,True
62,b3287109fe814993906d982cb9dea2b7,0236,0,25.5,1.34730859375,True,87184.5,327071.5092806232,662.4693603515625,206.533203125,0.524717883903584,0.9501600129741884,1860.6875017881396,627.0,265.0,NEW,0.7202890974794882,0.8032909838859974,100.55915832519533,253.8109532703425,166155.0,Selected,False,True,True
64,8cb9ee260d6243369c6cdf505fd74d7d,0268,1,24.5,1.43022998046875,True,80740.0,319239.08526292804,602.9163818359375,202.51724243164065,0.44484848484848477,0.9418990556379668,1913.7829554080963,550.0,330.0,NEW,0.7859060649527383,0.8033395858619294,68.25369262695312,250.60127693210185,181500.0,Selected,False,True,True
65,fa0ca8ed6e2142908594359886f768b3,0238,1,25.8,1.44797265625,True,65668.5,352979.2832009082,521.468505859375,197.1012725830078,0.5744119730937781,0.9258164173772654,2168.878406047821,547.0,209.0,NEW,0.6795676324876144,0.748956613121153,88.84126281738281,244.0491753725056,114323.0,Selected,False,True,True
66,abc69a7c952c4963ad7ca15e0303540e,0238,1,25.8,1.2987275390625,True,118735.5,365552.06370671024,788.8278198242188,221.41477966308597,0.6342030765943809,0.959798963237032,2106.1433445215225,740.0,253.0,NEW,0.9323127318915668,0.792408998228432,93.83314514160156,268.6726632912251,187220.0,Selected,False,True,True
69,32e5dfa1b03748519b7ce76b5fb1c4ae,0268,1,24.5,1.4225167236328125,True,82336.5,297722.8523253982,565.1254272460938,220.6501922607422,0.46981774815693966,0.920626409295852,2493.613466858864,569.0,308.0,NEW,0.7201563211776835,0.8488335850775612,74.82368469238281,203.0,175252.0,Selected,False,True,True
70,2a9930aaae514dd89b8047cbbf3e9252,0239,1,22.8,1.3469090576171876,True,75280.0,285731.82216402364,557.1241455078125,228.01559448242188,0.3749078666905715,0.9124121967975136,1891.3809332847595,577.0,348.0,NEW,0.5758181101327375,0.8510711000131423,117.67906951904295,275.40878707840824,200796.0,Selected,False,True,False
72,54dc10e75aac43c3828227826b97919a,0238,1,25.8,1.445780517578125,True,65220.5,339190.6941862804,520.3106079101562,189.77532958984372,0.6053620820880283,0.9311114885307608,2189.4225636720657,523.0,206.0,NEW,0.7330149903288201,0.7459199709864603,86.63648223876953,239.0585702291386,107738.0,Selected,False,True,True
77,014c4190c4b14a0fb7f0018edc587bcd,0267,0,20.1,1.2218514404296874,True,101499.0,311235.3517736871,626.12646484375,233.4481201171875,0.6239181214654537,0.9278936404356366,2241.4641927480698,664.0,245.0,NEW,0.746352840149497,0.8286737511831923,93.81483459472656,332.41540277189324,162680.0,Selected,False,True,True
