,uuid,gray_n,r_n,g_n,b_n
1826,38e69ac849c046c5a5ad0c539fbb91a6,0.705800440396003,0.7732884299293821,0.7175488011860955,0.744960954299384
1827,660c386ab176417e9a779f3e1dbda58c,1.122417851949065,1.19138936646438,1.1395982283067188,1.168761478108295
1828,c32a09d6edf447d0be32c81f412c419d,1.0707444866660147,1.1375155079978174,1.0885788124063742,1.119068556690405
1829,b7cd44d45a02434497d5fd14e4c11fa8,0.8947701169947166,0.960542135083113,0.9074937198342155,0.9361621169433493
1830,d8ae29ba39fe4d14ba252b241a9b98b7,0.9831369643866757,1.0539639182248017,0.9963357911061819,1.0255031732893232
1831,34fd9f59ef5e4e40a83d73588e1dce69,0.9833859403759839,1.053255214786356,1.0003328371751994,1.0326098364862144
1832,b231a4246758496782bb8f7c8440323f,0.7619088841939908,0.8280404194785665,0.7722584338242359,0.8011623766825906
1833,c813a4159f4b4929ae497e0c80f81a46,0.8233450009250166,0.8879640845566996,0.8354497796251146,0.8616273837457755
1834,5a21c4d7b83e47149f15ec92e4f44163,0.5861876228935664,0.6499585352089756,0.5959266131475414,0.6203458889121753
1835,d44c5e9b8bf14f748ecadb346b04f3e9,1.0126308047134742,1.0820930395396664,1.0260558793236794,1.0553286372367356
1836,d0fce589210e41c680b198fceca7e9f0,1.3043490496467147,1.3704630223096381,1.3164662254915087,1.341112782242233
1837,48ebba57f28a4b309615431a66b550b5,0.814626708917666,0.8791817406350871,0.828267700464657,0.8610323208003751
1838,eb1f7926a616499581489e0abb74e035,1.1117914327539462,1.1811028356530053,1.1279707396774108,1.1592415040772799
1839,e7d156c6a2c244b8a8e59ea35d1d8ef4,0.8016809905690333,0.867960258494568,0.8146577017794056,0.8486837315879255
1840,9e6e9935991d42d994243edbfa9755b9,1.3730075362584595,1.4390295634315555,1.385271411648821,1.411485174108178
1841,a938b428c0a34e65be8b4830da0440b1,0.5552887728345726,0.6227612659370818,0.5656755138989051,0.5939833607164682
1842,2b2d8679e9b7453481646ac531d6b5a3,0.8981297432072898,0.963972011782296,0.9104421740810432,0.9401126737197574
1843,b8bbcb627eba47f59ce35b744e3ca045,0.761264232669807,0.8300735512086846,0.7720445830782326,0.8026521002368743
1844,4aab201e60384c2688c28bc00f858157,0.8003266025110127,0.8655014914632259,0.8110614967222202,0.8441969983034222
1845,3e40e27e82ff4c8d8c15a6de3e79140c,1.1617498596874052,1.229817415735315,1.172540541049744,1.1998493846239005
1846,73e0503eefe04865943f9c67103ef7b1,1.0769564892540227,1.146481742899085,1.0945459713866392,1.1255439986031996
1847,0fc0d24e430344bd80eaa12338f23343,0.8201362066395762,0.8896717912385519,0.8338557134363076,0.8680625349383086
1848,414a961ee12e4105bf655322bcf5e9bc,1.1037384541786057,1.172059118597389,1.1211688396209591,1.150102742245662
1849,e9cd298eb35f40b284c3ff15f4375b80,1.1060040323717706,1.1731480011398403,1.1229674586972473,1.1522526137549993
1850,b3ef3baf3fa94a85a0aba39ec834740b,1.0814928111173092,1.1492938285542584,1.0979221271254733,1.1277796170300165
1851,c264ce838a76428685a62dce544b7774,1.413905716610041,1.479911214256876,1.4257914790871793,1.4507304018336473
1852,25a853177f2642b7ba47fddd71430d6a,0.584708230293196,0.6431101458599146,0.5936362406649845,0.6161453230510676
1853,3f563f9689494249a5bcb5018941b06f,1.0679695924449288,1.1323107734163467,1.0822387059898424,1.107479292590576
1854,1a69f9ef5510411eb76a8a85e89c6ea0,0.8521848918691095,0.9172585374729735,0.86388469717581,0.8906387685248276
1855,2d76cb910e6e4184a7244db60e9da761,1.5061869624397122,1.5699640733274693,1.51935582939287,1.5431573141134944
1856,e33876225e014ed2b86f818cd040ae53,0.7657488997635278,0.8289764039031027,0.7807060548390606,0.8143188464910526
1857,9343736d49874fafafef25dad2805e4c,0.814626708917666,0.8791817406350871,0.828267700464657,0.8610323208003751
1858,c061e408b0d1486f8cba388519869b1a,0.5727150258953605,0.6387732114071526,0.5816998565136718,0.6111916306496876
1859,9180fbfd3f7c4f5cbb1f8a523d69fe07,0.9720838767949417,1.0368672225938447,0.986374685343073,1.009957153840738
1860,455f1ebd6e6b4beb8770c81fe89964c9,0.96230046343914,1.0461382206355516,0.9773072070934562,1.0163261869282265
1861,d0266c53127e4f03a35f4f9cc26a13e1,0.7899233319204189,0.8578359236596307,0.8009361287918915,0.8290011981924944
1862,6412e3c0bc304d0380f9ad4d11dc3f15,1.22550940795351,1.2899941891843214,1.2405657401866095,1.2663786616341346
1863,ed50158dd8054214a9d037278316a5b6,0.9166820702446168,0.9790335094923522,0.9330607645786063,0.9630329280715859
