,uuid,id,sex,weight,predicted_weight,difference,area,width,height,MA,ma,eccentricity,perimeter,per_area,symmetry
1012,25ecf880edfa408b8e1c8fbc96f7c69b,TA5751,1,26.8,16.8,10.0,0.719092921806668,0.5238095238095238,0.6832298136645962,0.4492842306605457,0.8745456638294271,0.8454947159648865,0.6523292378734067,0.5178758202737036,0.2552211546097038
1015,41b0127686c54b47b03b220c0d2c43a6,TA5751,1,26.8,17.7,9.100000000000001,0.6909915849409645,0.652014652014652,0.4782608695652174,0.563698058112094,0.7483856530111164,0.9002413763127934,0.6990056046626567,0.7201980793744344,0.2684382895106204
1018,9f9b1438fc0d48cfa97d2112da3956bd,TA5751,1,26.8,16.0,10.8,0.6730927234263608,0.7142857142857143,0.3571428571428571,0.6470804143276675,0.5968001425006577,0.9340572276167904,0.6896933349020538,0.7421965872521475,0.28565347779820066
1019,06016bcb081e42cabcf7955e77ef22f6,TA332,1,20.4,27.2,6.800000000000001,0.5879574250781678,0.22344322344322343,1.0,0.4389153026863938,0.3362873500772817,0.941935296543708,0.5173179675320418,0.20338965254619845,0.2792283794523517
1023,183b33d480d940ed8a9bfd6260b54a71,TA0440,1,16.0,13.5,2.5,0.45877968940439356,0.6391941391941393,0.6677018633540373,0.722329635060848,0.392824282617684,0.9612033426143824,0.7240484437991808,0.2891870411585422,0.2988297454259639
1026,35da46514a154cf0a524d2cac86e38e8,TA5751,1,26.8,22.8,4.0,0.732702032569666,0.5384615384615384,0.6739130434782608,0.4576154850499293,0.9171475198176782,0.8382568562274346,0.6810383970189449,0.5503858191738759,0.2650804545107908
1028,7d2944fe109a4bfa96b98693deae1691,TA5751,1,26.8,26.8,0.0,0.7270858304947798,0.5457875457875457,0.6645962732919255,0.46446481424607167,0.9161913648131981,0.8409352413666895,0.6848696098972182,0.5619730157329549,0.26141836589866113
1031,daae6801f704463fba9c5f9320bce7bd,TA0432,0,14.3,26.8,12.5,0.2127452859923723,0.1648351648351648,0.1366459627329193,0.146949912885329,0.21541750182820518,0.909086431388597,0.11985670620807998,0.906433937659089,0.4411293195582473
1041,c54fbb6d52164150b110b57fce3f4029,TA433,0,17.7,20.4,2.6999999999999993,0.5809876168999537,0.5824175824175825,0.7173913043478259,0.7059598091521521,0.25040847440136893,0.9714381088655204,0.6463611364933917,0.13850711586663011,0.26121986861333085
1043,481e008d83a94d20a238bbe11aedf464,TA0427,0,18.9,24.2,5.300000000000001,0.5259984435432163,0.5164835164835165,0.686335403726708,0.5170909290153073,0.6118234428764764,0.9133955849846636,0.5519139014227368,0.5009383825780577,0.3554910401441585
1044,896829f359c0486188118780f580a74b,TA5751,1,26.8,25.5,1.3000000000000007,0.7274011837591432,0.5567765567765567,0.6614906832298135,0.47357056230175876,0.9121469206770918,0.8450380711005525,0.6916469074033447,0.5632539006798215,0.2640581749941356
1046,78f4fe4f92a04e9eafd7a7adef692c79,TA5751,1,26.8,18.9,7.900000000000002,0.7207312235960481,0.6062271062271062,0.5341614906832298,0.5171205463639231,0.8103580383508819,0.8791062728579221,0.6817586324001057,0.6739044964242712,0.2515106601299737
1047,1fdc7d9c8c754a4da1c34e415d318ff6,TA433,0,17.7,17.7,0.0,0.572938020990122,0.5586080586080585,0.593167701863354,0.6517143658473469,0.2022135983591794,0.9724019186780372,0.5681683615587259,0.17923140866742493,0.2624142564175094
1048,ecc70dee6e0d4349ab436a5e6e0fc649,TA5751,1,26.8,26.8,0.0,0.7331892045262036,0.5695970695970697,0.6490683229813665,0.48367642475445505,0.902919683451817,0.85049007023658,0.6956614362820688,0.575698246630194,0.2622963045829138
1051,aefa437492b54406b3be4ae2508cf31c,TA5751,1,26.8,20.4,6.400000000000002,0.6846234547830712,0.7142857142857143,0.3633540372670807,0.6462370603258322,0.5859643244925077,0.9352438410684276,0.6923487196533142,0.7360613731392488,0.2766834631241411
1057,30123a515c1f418797e308990c698fdb,TA5751,1,26.8,26.8,0.0,0.6768648553381902,0.7142857142857143,0.36024844720496896,0.6527048546060558,0.5650245153653681,0.9383949538679086,0.6926838999023823,0.7398621553207266,0.2810093846123705
1066,68a429d3257b41abbcf4932ee378491a,TA5751,1,26.8,26.8,0.0,0.6907924635352356,0.7252747252747253,0.3633540372670807,0.6543936781346275,0.6090683768876517,0.9334529884484848,0.6993852652842001,0.7486158191777491,0.28837845280259805
1071,48aee6e09b1841e1acb0bad4992876cf,TA0432,0,14.3,26.8,12.5,0.3631682220198556,0.2857142857142857,0.686335403726708,0.3382266834646396,0.44516566918264544,0.9069702651626724,0.47985951524789505,0.3421554441620006,0.2431517573552437
1073,2759e64f44094ced882e56eb58fcd239,TA5751,1,26.8,26.8,0.0,0.7013008754031651,0.6355311355311356,0.5062111801242236,0.5447109047957205,0.7863444691151289,0.8899290902960313,0.6984871084131381,0.7040348841326757,0.2575587486903158
1079,beb36ecae6a2489099a72b929b5e904d,TA0185,0,22.8,22.3,0.5,0.5595023094512537,0.49084249084249076,0.4161490683229814,0.4446296527730803,0.445112129732843,0.9271056450767526,0.4604257796005773,0.5042942776500307,0.2995110024449878
1080,f3665106b1d74b4fb6467f5c07bb29e9,TA5751,1,26.8,26.8,0.0,0.6917661971731703,0.7142857142857143,0.36024844720496896,0.6544024575629671,0.5590703037993288,0.9392539138755732,0.6982853692814959,0.7374382016125732,0.2881586813143736
1086,7d0981ff0a0d4ec1ab266cf4b930c4c5,TA433,0,17.7,13.9,3.799999999999999,0.5861724483671271,0.5860805860805861,0.7173913043478259,0.7086874611834236,0.24961635206670452,0.9716235277106506,0.6454760082429716,0.1405782914728133,0.26133047154131056
